process	task_id	hash	native_id	module	container	tag	name	status	exit	submit	start	complete	duration	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	attempt	workdir	scratch	queue	cpus	memory	disk	time	env
bowtie	17	9c/5c7f98	182815	-	-	-	bowtie (1)	CACHED	0	1693502324182	1693502324324	1693502410826	86644	8255	25.2	0.4	34930688	45568000	34930688	45568000	19217005	348288	1901	99	106496	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/9c/5c7f98c052d0dccdaf659b38911545	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

bowtie	20	16/603d6f	186677	-	-	-	bowtie (4)	CACHED	0	1693502456022	1693502456401	1693502549542	93520	7985	27.6	0.0	8605696	35258368	8605696	35258368	19218099	351169	1902	100	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/16/603d6fe43f355282d4a8624fa63b46	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

readCounts	22	ac/e25d19	190955	-	-	-	readCounts (3)	CACHED	0	1693502613038	1693502613107	1693502716267	103229	682	78.2	0.0	3215360	8835072	3215360	8835072	5448598	2727543	892	347	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/ac/e25d194ba1f970db9b8f64d099685a	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

readCounts	23	85/9403e9	190636	-	-	-	readCounts (2)	CACHED	0	1693502549567	1693502549883	1693502651693	102126	614	77.3	0.1	10887168	24092672	10887168	24092672	5448738	2727609	892	347	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/85/9403e9937399617648570d2d318941	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

readCounts	25	94/be0dae	189487	-	-	-	readCounts (1)	CACHED	0	1693502534754	1693502534825	1693502635048	100294	2400	27.0	0.4	36528128	49893376	36528128	49893376	5444946	2724810	891	346	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/94/be0dae9ea29feaffaa5206b44ac565	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

